dir_name,lab,rgb
4_8,"[13.11, -20.92, 4.04]","['78.73671044402752', '147.96805294976028', '81.41145507608923']"
4_9,"[13.25, -20.93, 5.63]","['81.58685469158326', '151.411715398649', '73.40481238597702']"
4_10,"[12.88, -20.84, 3.38]","['77.25733862243058', '146.41254958528668', '79.80879913451136']"
4_11,"[13.09, -20.23, 5.43]","['81.43524142901266', '150.65777823535467', '72.37475548234325']"
4_12,"[13.19, -20.92, 5.13]","['80.38429319371728', '149.18451364012125', '73.77718379718931']"
4_13,"[13.24, -21.14, 6.12]","['80.87386632116454', '149.56443868607576', '68.95389070954958']"
4_14,"[13.54, -21.29, 5.46]","['81.0184220556473', '151.58899758607546', '71.95330961758353']"
4_15,"[13.36, -20.86, 5.33]","['78.64919893190921', '146.96534267912773', '69.67122830440587']"
4_16,"[13.15, -20.52, 5.55]","['79.15764009243212', '148.70623916811093', '70.8811380704795']"
4_17,"[13.58, -20.99, 6.99]","['83.13063965769376', '152.61284731625412', '64.0306017440286']"
4_18,"[13.54, -21.46, 6.31]","['82.19883477741261', '152.26590976994322', '66.43643561398267']"
4_19,"[13.22, -20.95, 5.74]","['81.7517875383044', '150.24974463738508', '71.38243105209398']"
4_20,"[13.51, -21.24, 6.65]","['82.00759544273436', '151.3576520754214', '64.40489039909387']"
5_1,"[13.02, -20.96, 3.87]","['79.55661878133436', '145.50383243347474', '81.28374469726185']"
5_2,"[12.89, -20.35, 1.81]","['76.92445646465707', '144.4313622518643', '91.36716206280853']"
5_3,"[12.76, -20.25, 2.32]","['76.6989893471729', '144.74181917508878', '87.26249658563233']"
5_4,"[12.85, -20.38, 2.17]","['75.47829954883396', '143.5486433246489', '87.35572218338946']"
5_5,"[13.16, -21.19, 2.57]","['76.35905128372356', '145.04371834170308', '84.5958825191852']"
5_6,"[12.92, -20.42, 1.64]","['77.26715631210577', '143.34362740862352', '93.50521040352545']"
5_7,"[12.57, -20.62, 3.05]","['74.73882955536182', '141.26623801220575', '82.57775719267654']"
5_8,"[13.08, -21.18, 3.16]","['78.7956303306461', '144.06914359154106', '83.43212992171982']"
5_9,"[12.61, -20.25, 1.46]","['75.70818935729095', '142.4969477079014', '91.33321815249943']"
5_10,"[12.55, -20.3, 1.78]","['77.65770609318996', '142.55871123577995', '93.17028985507247']"
5_11,"[12.76, -20.75, 3.29]","['77.1926803876031', '145.75294306078322', '83.4782974293265']"
5_12,"[12.83, -20.79, 3.03]","['78.38029479639694', '144.9087322266061', '84.25947293977518']"
5_13,"[13.13, -21.23, 3.43]","['76.45083106056708', '147.30350434827355', '83.12411876704574']"
5_14,"[13.01, -21.05, 2.88]","['75.914625', '145.3326875', '81.86975']"
5_15,"[12.77, -20.7, 2.62]","['75.58673936251334', '144.11239896294038', '85.28652585023639']"
5_16,"[13.17, -21.15, 3.07]","['77.10747513634905', '147.25697786333012', '83.15790824510748']"
5_17,"[12.95, -20.94, 2.52]","['77.13576768032563', '144.39235254980235', '85.67703808070134']"
5_18,"[12.76, -20.54, 2.59]","['76.83317119615839', '144.3674580340695', '85.31364229089479']"
5_19,"[13.82, -21.98, 4.67]","['81.24321306172745', '154.38395779583348', '79.24355962878818']"
5_20,"[13.27, -21.45, 4.89]","['81.4859829940737', '153.2535686678691', '77.06848750322082']"
6_1,"[13.53, -22.19, 3.55]","['79.8686203240951', '153.65920793578675', '81.5710283204604']"
6_2,"[14.24, -22.4, 5.64]","['85.15508126744378', '158.61017895255296', '73.67785256936463']"
6_3,"[14.23, -22.55, 5.4]","['83.19814757401953', '159.17803441326927', '73.59932568594016']"
6_4,"[13.56, -21.84, 4.82]","['81.3169270902654', '151.9534431815157', '74.93707243059067']"
6_5,"[13.81, -22.16, 5.58]","['83.19831977244162', '157.79589204207184', '72.96245948270159']"
6_6,"[13.32, -21.28, 3.55]","['78.34134855393218', '148.15548973275202', '82.74155489732752']"
6_7,"[13.52, -21.86, 4.23]","['81.16863944673494', '153.9867003590903', '80.06122268032097']"
6_8,"[13.37, -21.77, 3.73]","['78.89373222489608', '149.544629183986', '80.90849923430322']"
6_9,"[13.16, -21.35, 3.73]","['79.11342882721576', '148.01311548791406', '81.89073410922113']"
6_10,"[13.53, -21.61, 4.54]","['80.62829352602644', '149.5833195432732', '78.20238292238955']"
6_11,"[13.98, -22.35, 5.93]","['85.18348104382078', '158.30184638109307', '73.26486952240276']"
6_12,"[13.04, -21.19, 3.35]","['78.08250099880144', '146.8041150619257', '83.97950459448661']"
6_13,"[12.88, -20.8, 2.3]","['75.91485412867934', '143.4834266736129', '86.94383302943474']"
6_14,"[12.9, -20.85, 2.75]","['75.81061821437899', '144.48106555236353', '86.38283028019252']"
6_15,"[14.02, -22.37, 4.37]","['80.83359054342472', '157.01477589886719', '78.30684616647513']"
6_16,"[14.2, -22.36, 5.46]","['82.43574057495275', '157.72677310255645', '75.77511688053318']"
6_17,"[12.79, -20.47, 1.99]","['77.04488366839847', '141.03264061441158', '89.36480686695279']"
6_18,"[13.67, -21.94, 4.55]","['80.9689569434529', '151.96922773934665', '79.87696019300361']"
6_19,"[13.77, -21.9, 3.86]","['78.37483385024369', '154.37710456357996', '79.39820558263182']"
6_20,"[13.69, -22.08, 4.12]","['79.689807191799', '153.46608594040472', '78.39273383969831']"
