dir_name,RGB,,LAB,,,,,,,gamma_ed_RGB
6_18,"[76.87091017251636, 143.25104104699582, 82.51041046995836]",,"[12.31, -19.27, 3.31]",,,,,,,"[0.07396122342854783, 0.2757324174034744, 0.08545660159220948]"
6_19,"[88.50803093396787, 148.0321237358715, 57.29863176680547]",,"[12.96, -18.18, 8.36]",,,,,,,"[0.09875765593262296, 0.29627920294430515, 0.04132928973583165]"
6_9,"[88.56930398572278, 154.52944675788223, 63.631171921475314]",,"[13.55, -19.05, 7.91]",,,,,,,"[0.09889935577889819, 0.3255923396550599, 0.0506897338879815]"
10_1,"[103.85484830458061, 213.80130874479477, 119.57644259369422]",,"[16.76, -24.81, 3.13]",,,,,,,"[0.1380233702405046, 0.6710377627441232, 0.18639936047875208]"
10_10,"[82.87983343248067, 153.41403926234383, 70.12016656751933]",,"[13.15, -21.79, 6.4]",,,,,,,"[0.08624356857106175, 0.3204452217381904, 0.06145648009820925]"
10_11,"[71.5466983938132, 129.35157644259368, 64.49315883402737]",,"[11.36, -20.58, 5.1]",,,,,,,"[0.06398674645966416, 0.22082353524044546, 0.052050621727789514]"
10_12,"[71.67638310529446, 128.8863771564545, 72.48483045806069]",,"[11.05, -20.0, 3.72]",,,,,,,"[0.06421972744148981, 0.2191078786529175, 0.06568327064181122]"
10_13,"[104.94229625223082, 177.65318262938726, 56.47828673408685]",,"[14.93, -21.51, 10.54]",,,,,,,"[0.14109898303263743, 0.4432738411436768, 0.04019760110141652]"
10_14,"[86.29565734681736, 155.0053539559786, 66.61808447352766]",,"[13.59, -21.8, 7.29]",,,,,,,"[0.09372048985763286, 0.32780301671476597, 0.05549562886168133]"
10_15,"[68.0582986317668, 125.29625223081499, 67.26234384295063]",,"[11.03, -19.75, 4.03]",,,,,,,"[0.057904082678306906, 0.20612912043518833, 0.05656563962645915]"
10_16,"[68.71564544913741, 125.70791195716835, 67.05770374776918]",,"[11.08, -19.98, 3.97]",,,,,,,"[0.059023238463371916, 0.20759388994610842, 0.05622447343268614]"
10_17,"[97.2439024390244, 193.7328970850684, 102.9910767400357]",,"[15.65, -23.89, 4.11]",,,,,,,"[0.12016964932975717, 0.5378185303445783, 0.135608509792217]"
10_18,"[86.71505056513979, 157.1861986912552, 62.28435455086258]",,"[13.46, -22.01, 7.68]",,,,,,,"[0.09466356561658822, 0.3380452724716892, 0.04860537926322996]"
10_19,"[97.89767995240928, 191.75728732897085, 106.66091612135634]",,"[15.43, -23.6, 3.21]",,,,,,,"[0.12187120504544734, 0.5256260011885409, 0.14604055791955636]"
10_2,"[101.88994646044021, 212.98334324806663, 124.09339678762642]",,"[16.69, -24.55, 2.61]",,,,,,,"[0.13256605039615543, 0.665270138089833, 0.20188373575592924]"
10_20,"[100.34860202260559, 178.2385484830458, 67.3224271267103]",,"[14.77, -21.08, 7.87]",,,,,,,"[0.12837474114088884, 0.4465297020042551, 0.05666603630402073]"
10_3,"[101.84533016061867, 212.1279000594884, 123.3896490184414]",,"[16.59, -24.51, 2.62]",,,,,,,"[0.13244362242666033, 0.6592692974700755, 0.19942377953894108]"
10_4,"[104.45032718619869, 218.22605591909578, 118.82391433670435]",,"[16.98, -24.68, 3.11]",,,,,,,"[0.13970265635168194, 0.702742366891501, 0.1838894809526596]"
10_5,"[95.93515764425936, 180.28256989886972, 103.54431885782273]",,"[15.0, -22.95, 3.09]",,,,,,,"[0.11680529025498333, 0.4580079248422821, 0.13715235492056826]"
10_6,"[85.53955978584176, 153.5437239738251, 63.39559785841761]",,"[13.29, -21.62, 7.53]",,,,,,,"[0.09203417651804431, 0.3210412028794888, 0.05032146933154621]"
10_7,"[68.85722784057108, 125.03390838786437, 63.54907792980369]",,"[11.25, -19.8, 4.56]",,,,,,,"[0.05926592440850304, 0.20519880244955618, 0.050561221440396605]"
10_8,"[69.53123140987508, 126.35395597858418, 64.20820939916716]",,"[11.1, -20.01, 4.73]",,,,,,,"[0.060429206210764815, 0.20990485486359858, 0.05159842155702077]"
10_9,"[105.86020226055919, 176.65080309339677, 52.491374182034505]",,"[15.14, -20.97, 11.31]",,,,,,,"[0.1437259065400176, 0.4377307597932076, 0.03495636185864653]"
11_1,"[92.4187983343248, 151.9274241522903, 65.14396192742416]",,"[13.45, -17.54, 7.51]",,,,,,,"[0.10804048776948587, 0.3136593987630953, 0.053092056138434214]"
11_10,"[88.77275431290899, 146.54193932183225, 61.35633551457466]",,"[13.18, -17.24, 7.55]",,,,,,,"[0.09937070462690713, 0.2897826459630536, 0.04719878833711005]"
11_11,"[105.84949434860202, 176.59666864961332, 53.829268292682926]",,"[15.21, -21.23, 11.08]",,,,,,,"[0.14369509890532597, 0.4374325581122824, 0.03666763298690505]"
11_12,"[95.64187983343248, 167.60499702558002, 57.02676977989292]",,"[14.3, -21.73, 9.95]",,,,,,,"[0.1160590025021092, 0.38953622019373124, 0.040952217554980144]"
