dir_name,RGB,,LAB,,,,,gamma_ed_RGB
14_2,"[30.741820345032718, 97.55681142177275, 178.9512195121951]",,"[7.08, -4.28, -17.32]",,,,,"[0.013514272166549785, 0.12098230143299102, 0.45051242143276365]"
14_3,"[32.21772754312909, 104.37656157049375, 187.37120761451516]",,"[7.72, -5.5, -17.17]",,,,,"[0.01460837555318216, 0.13949398988918105, 0.49913813942325336]"
14_4,"[30.79476502082094, 92.06722189173111, 174.15526472337893]",,"[6.6, -3.5, -17.06]",,,,,"[0.013552663164013969, 0.10718602655975465, 0.424107003431163]"
14_5,"[29.339083878643663, 98.32599643069601, 183.23497917906008]",,"[7.34, -4.07, -17.19]",,,,,"[0.012520165962676903, 0.12299353735519993, 0.4748880299923253]"
16_1,"[31.973825104104698, 100.74776918500892, 194.43723973825104]",,"[7.38, -3.08, -17.97]",,,,,"[0.014424136970209191, 0.12945264498085693, 0.5422048809199648]"
16_2,"[34.867935752528254, 104.17489589530042, 194.35336109458655]",,"[7.64, -4.34, -17.17]",,,,,"[0.016698918301345046, 0.1389244511000065, 0.541681429561798]"
16_3,"[34.95895300416419, 105.72813801308745, 193.6139202855443]",,"[7.79, -4.56, -16.48]",,,,,"[0.01677362213374416, 0.1433462149226053, 0.5370796440212959]"
16_4,"[32.854253420582985, 103.6424747174301, 198.67102914931587]",,"[7.65, -3.88, -17.72]",,,,,"[0.015095632408720708, 0.13742732820486925, 0.5690103693454412]"
16_5,"[29.389649018441403, 96.69541939321832, 199.85127900059487]",,"[7.12, -1.95, -18.93]",,,,,"[0.012555232813345073, 0.11875289259791294, 0.5766176755704813]"
16_6,"[31.776918500892325, 104.81558596073765, 214.4883997620464]",,"[7.48, -2.34, -19.08]",,,,,"[0.014276392220319943, 0.14073857409145815, 0.6759050260294835]"
16_7,"[34.26293872694824, 107.44497323022011, 210.5229030339084]",,"[7.55, -3.87, -18.72]",,,,,"[0.016207292297849535, 0.14832798934588065, 0.6480958980935089]"
16_8,"[36.609756097560975, 109.44378346222487, 195.67697798929208]",,"[8.16, -5.31, -16.88]",,,,,"[0.018162456933745956, 0.15425344411697722, 0.5499759878278223]"
16_9,"[31.41225461035098, 98.2236763831053, 196.14991076740037]",,"[7.07, -1.51, -18.53]",,,,,"[0.014005114456309703, 0.122724878957365, 0.5529575037772247]"
19_1,"[33.760856632956575, 106.6716240333135, 232.7697798929209]",,"[7.79, 0.13, -21.43]",,,,,"[0.01580578848063728, 0.14607165788438403, 0.8130251692218395]"
19_10,"[38.62700773349197, 119.56454491374183, 239.3254015466984]",,"[8.52, -4.28, -19.86]",,,,,"[0.01994773137710928, 0.18635952411209286, 0.8658237539408089]"
19_11,"[35.468768590124924, 113.43486020226057, 239.18500892325997]",,"[7.98, -1.98, -21.05]",,,,,"[0.017195662795549106, 0.1664922086427714, 0.8646727019312476]"
19_12,"[29.201665675193336, 113.64901844140392, 244.8982748364069]",,"[8.17, -2.54, -21.57]",,,,,"[0.01242515551185602, 0.16716437552589586, 0.912238260003944]"
19_13,"[34.030339083878644, 115.2932778108269, 233.93396787626412]",,"[8.42, -3.94, -19.86]",,,,,"[0.016020557103981276, 0.1723778474966786, 0.8222601283570804]"
19_14,"[37.32421177870315, 113.41641879833432, 235.19631171921475]",,"[8.03, -2.16, -20.49]",,,,,"[0.018783596024396033, 0.1664344014722337, 0.8323425368943264]"
19_15,"[33.22367638310529, 116.7935752528257, 240.75431290898274]",,"[8.45, -3.42, -20.78]",,,,,"[0.015382708703815409, 0.1772165426734106, 0.877589973580729]"
19_16,"[32.0582986317668, 110.70612730517549, 232.9042236763831]",,"[8.11, -1.95, -20.82]",,,,,"[0.014487792045271274, 0.15806557581377698, 0.8140885420997468]"
19_17,"[32.87031528851874, 113.18500892325996, 229.9512195121951]",,"[8.54, -4.1, -20.07]",,,,,"[0.01510804841916091, 0.16571000989066373, 0.790918361206879]"
19_18,"[34.78346222486615, 115.50148720999405, 228.16478286734088]",,"[8.64, -4.87, -19.33]",,,,,"[0.016629759308194592, 0.17304468867347156, 0.7770905482260556]"
19_19,"[33.81737061273052, 106.48066627007734, 230.16180844735277]",,"[7.72, 0.09, -21.36]",,,,,"[0.015850688172908998, 0.14551762154114325, 0.7925577928208044]"
19_2,"[31.764425936942295, 111.39381320642475, 235.54431885782273]",,"[8.13, -2.66, -20.61]",,,,,"[0.0142670486103552, 0.16016518229213145, 0.8351346993668854]"
19_20,"[36.12254610350981, 111.74301011302796, 238.9333729922665]",,"[7.89, -0.64, -21.22]",,,,,"[0.017745854280029404, 0.16123752344424572, 0.8626118224556978]"
19_3,"[32.91493158834027, 110.64306960142773, 231.81856038072576]",,"[7.86, -2.94, -20.98]",,,,,"[0.015142568584889413, 0.15787385991188246, 0.8055247194890556]"
19_4,"[32.65556216537775, 112.49018441403926, 240.52528256989888]",,"[8.03, -1.76, -21.22]",,,,,"[0.01494253390446099, 0.1635460392019741, 0.8756978111589852]"
19_5,"[36.97917906008328, 117.37418203450328, 238.23795359904818]",,"[8.6, -3.59, -20.05]",,,,,"[0.018482107503474107, 0.1791100899496246, 0.856931301962395]"
19_6,"[35.64425936942296, 116.92088042831648, 236.93456276026174]",,"[8.43, -3.94, -19.69]",,,,,"[0.01734235635021198, 0.1776307215305496, 0.8463434968484453]"
19_7,"[37.60499702558001, 113.85008923259964, 243.2766210588935]",,"[7.87, -0.61, -21.18]",,,,,"[0.019031047967976816, 0.16779690394069294, 0.898586143896153]"
19_8,"[34.8720999405116, 110.98215348007139, 236.42534205829864]",,"[8.12, -1.53, -20.76]",,,,,"[0.016702331878196485, 0.1589063829576653, 0.8422278028560497]"
19_9,"[34.21713265913147, 114.90422367638311, 232.85603807257584]",,"[8.53, -4.22, -19.72]",,,,,"[0.016170418522047373, 0.17113583027331294, 0.8137073285116568]"
